ID,Title,Question,Answer,Chapter
607,Popularité des FCP,Pourquoi les FCP sont-ils si populaires alors que les FNB semblent plus avantageux?,Les FCP sont vendus à travers le réseau de succursales des banques canadiennes tandis que les FNB nécessitent un compte de courtage et ne sont généralement pas accessibles en succursales. Les FNB existent depuis moins longtemps que les FCP. La rémunération des représentants et des institutions financières est moindre lors de la vente de FNB comparativement aux FCP. Les FCP permettent aux investisseurs avec de petits comptes d’obtenir une diversification en achetant des fonds équilibrés.,17
608,Calcul de la VANPA,Quelle est la fréquence minimale à laquelle un nouveau fonds commun de placement doit calculer sa VANPA?,Chaque semaine selon NI 81-102 pour les nouveaux fonds; les fonds immobiliers une fois par année.,17
609,Différence T3 et T5,Quelle est la différence entre le feuillet T3 et le feuillet T5?,T3 = part donc fiducie; T5 = actions donc société par actions.,17
610,Trajectoire,"Qu'entend-on par """"trajectoire"""" ?","Changements dans la répartition des actifs du fonds à date cible dans le temps. Le fonds suit une stratégie de croissance en détenant des actifs plus risqués au cours des premières années. Ensuite, le fonds amorce une transition graduelle vers des actifs moins risqués à l’approche de la date cible. Le gestionnaire procède à un rajustement du fonds au fil du temps, sans que le détenteur ait à intervenir.",17
611,Catégories de fonds communs de placement,Quelles sont les principales catégories de fonds communs de placement?,"Fonds du marché monétaire, fonds de titres à revenu fixe, fonds équilibrés, fonds d'actions, fonds de marchandises, fonds spécialisés, fonds à date cible, et fonds alternatifs.",18
612,Fonds du marché monétaire,Quels types de titres composent les fonds du marché monétaire?,"Bons du Trésor, acceptations bancaires, papier commercial de haute qualité et obligations à court terme.",18
613,Risques des fonds du marché monétaire,Pourquoi les fonds du marché monétaire sont-ils considérés comme les moins risqués?,Ils investissent dans des titres très liquides et de courte durée avec des cotes de crédit élevées.,18
614,Risques des fonds de titres à revenu fixe,Quels sont les principaux risques associés aux fonds de titres à revenu fixe?,"Risque de taux d'intérêt et, pour les obligations de sociétés, risque de défaillance ou de crédit.",18
615,Fonds équilibrés,Comment les fonds équilibrés diversifient-ils leurs actifs?,Ils investissent dans une combinaison d'actions et de titres à revenu fixe.,18
616,Volatilité des fonds d'actions,Pourquoi les fonds d’actions sont-ils plus volatils que les autres catégories de fonds?,"Ils investissent principalement dans des actions ordinaires, qui ont des cours plus volatils.",18
617,Sous-catégories de fonds d'actions,Quelles sous-catégories de fonds d'actions sont proposées par le CIFSC?,"Fonds d'actions mondiales, canadiennes, américaines, de marchés émergents, de secteurs spécifiques comme les soins de santé et les métaux précieux.",18
618,Fonds à date cible,Quels fonds cherchent à ajuster le risque en fonction de l'âge de l'investisseur?,"Les fonds à date cible ou fonds basés sur une cible, qui modifient la répartition des actifs à mesure que l'investisseur approche de la date cible.",18
619,Fonds alternatifs,Comment les fonds alternatifs diffèrent-ils des fonds communs de placement traditionnels?,"Ils utilisent des stratégies comme la vente à découvert et des effets de levier, souvent non autorisées dans les fonds classiques.",18
620,Fonds indiciels,Quelle est la principale stratégie d'un fonds indiciel?,"Reproduire le rendement d'un indice spécifique, comme le S&P/TSX pour les actions canadiennes.",18
621,Avantages fiscaux des fonds de dividendes,Quels avantages fiscaux sont associés aux fonds de dividendes?,"Les dividendes canadiens donnent droit à un crédit d’impôt, et les gains en capital peuvent être imposés avantageusement.",18
622,Risques des fonds de marchandises,Quelles caractéristiques rendent les fonds de marchandises spéculatifs?,"Ils investissent dans des marchandises physiques ou utilisent des produits dérivés, créant un levier pouvant atteindre 100 %.",18
623,Risques des fonds spécialisés,Pourquoi les fonds spécialisés sont-ils exposés à un risque de concentration?,"Ils se concentrent souvent sur un secteur ou une région spécifiques, augmentant leur exposition aux fluctuations sectorielles.",18
624,Fonds à date cible,Quel type de fonds commun de placement ajuste automatiquement ses actifs en fonction du cycle de vie de l'investisseur?,"Les fonds à date cible, qui passent des actifs risqués aux actifs plus sûrs en approchant la date cible.",18
625,Fonds de répartition de l'actif vs fonds équilibrés,Pourquoi les fonds de répartition de l'actif offrent-ils plus de flexibilité que les fonds équilibrés?,"Ils n'ont pas de pourcentage fixe d'actions ou d'obligations, permettant une adaptation aux conditions économiques.",18
626,Styles de gestion des FCP,Quels sont les deux styles de gestion des fonds communs de placement?,La gestion passive (indexation) et la gestion active.,18
627,Gestion indicielle,Qu'est-ce que la gestion indicielle?,Un style de gestion passive visant à reproduire le rendement d'un indice de référence en suivant ses composants.,18
628,Fluctuation des rendements des fonds indiciels,Comment les rendements des fonds indiciels peuvent-ils fluctuer par rapport à leur indice de référence?,"Les rendements peuvent être légèrement inférieurs à ceux de l'indice en raison des frais de gestion, même s'ils sont faibles.",18
629,Plan de retrait à pourcentage fixe,Pourquoi un investisseur pourrait-il choisir un plan de retrait à pourcentage fixe?,Pour recevoir un revenu régulier basé sur un pourcentage de la valeur de ses parts chaque année.,18
630,Calcul du prix de rachat,Comment est calculé le prix de rachat d'une part de fonds commun de placement?,En fonction de la valeur liquidative par part (VANPA) au jour de la demande de rachat.,18
631,Imposition des gains en capital,Comment un gain en capital réalisé par un fonds est-il imposé pour l'investisseur?,L'investisseur est imposé sur 50 % des gains en capital nets au taux marginal d'imposition.,18
632,Achat en fin d'année,Pourquoi les fonds mettent-ils en garde contre l'achat en fin d'année?,Pour éviter l’impôt sur des distributions de gains en capital réalisés plus tôt dans l'année.,18
633,Prix de base rajusté (PBR),Qu'est-ce que le prix de base rajusté (PBR) et pourquoi est-il important?,"Le PBR ajuste le prix d'achat pour tenir compte des distributions réinvesties, évitant la double imposition.",18
634,Gestion active,Comment la gestion active peut-elle surperformer un indice de référence?,Par la sélection de titres et de secteurs spécifiques pour exploiter les opportunités de marché.,18
635,Distributions réinvesties,Quels sont les avantages des distributions réinvesties dans des fonds communs de placement?,Elles permettent d'augmenter le nombre de parts sans frais et de bénéficier de l'effet de capitalisation.,18
636,Impact des distributions sur la VANPA,Comment les distributions influencent-elles la VANPA d’un fonds?,"La VANPA baisse du montant de la distribution, bien que les investisseurs reçoivent des parts supplémentaires en compensation.",18
637,Mesure du rendement des fonds,Comment les fonds mesurent-ils leur rendement pour des comparaisons standardisées?,En utilisant des normes de rendement réglementées incluant des rendements annuels composés.,18
638,Popularité des fonds indiciels,Pourquoi les fonds indiciels sont-ils populaires parmi les investisseurs passifs?,Ils permettent de suivre un marché avec des frais de gestion réduits et moins de volatilité due à la gestion active.,18
639,Fonds négocié en bourse (FNB),Qu'est-ce qu'un fonds négocié en bourse (FNB) et quelles caractéristiques combine-t-il?,Un FNB est un instrument de placement combinant des aspects des fonds communs de placement et des actions.,19
640,Constitution et réglementation des FNB,Comment les FNB sont-ils constitués et réglementés au Canada?,Ils sont généralement constitués en fiducie ou en société et sont réglementés sous la Norme canadienne 81-102.,19
641,Gestion passive vs active des FNB,Quelle est la principale différence entre la gestion passive et active des FNB?,"La gestion passive suit un indice de marché, tandis que la gestion active vise à surpasser le marché en sélectionnant des titres.",19
642,Marche et vente à découvert des FNB,Pourquoi les FNB peuvent-ils être achetés sur marge et vendus à découvert?,"Parce qu'ils sont cotés en bourse, ce qui permet des transactions comme les actions individuelles.",19
643,Obligations d'information des FNB,Quelles obligations d'information sont requises pour les FNB au Canada?,Les FNB doivent fournir un aperçu sommaire du FNB pour informer les investisseurs de leurs caractéristiques de négociation et de tarification.,19
644,Création et rachat d'un FNB,Quel est le processus de création et de rachat d'un FNB?,"Un courtier désigné échange des paniers de titres contre un nombre prescrit de parts de FNB, créant ainsi de nouvelles parts sur le marché.",19
645,Caractéristiques des FNB,Quelles sont les principales caractéristiques des FNB?,"Faible coût, liquidité, transparence, faible erreur de suivi, efficience fiscale, et diversification.",19
646,Frais de gestion des FNB,Pourquoi les FNB ont-ils généralement des frais de gestion plus bas que les fonds communs de placement?,En raison de leur gestion passive et de leur structure allégée qui minimise les frais administratifs.,19
647,Erreur de suivi des FNB,Qu'est-ce que l'erreur de suivi dans le contexte des FNB?,C'est la différence entre le rendement d'un FNB et celui de son indice de référence.,19
648,Réduction de l'erreur de suivi,Qu'est-ce qui contribue à réduire l'erreur de suivi pour les FNB?,"Le processus de création et de rachat en nature, ainsi que les frais de gestion réduits.",19
649,Avantages fiscaux des FNB,Quels sont les avantages fiscaux des FNB pour les investisseurs?,"Les FNB ont un faible taux de rotation, réduisant ainsi les gains en capital imposables.",19
650,Transparence des FNB,En quoi la transparence est-elle un atout pour les FNB?,"Elle permet aux investisseurs de connaître régulièrement la composition du fonds, surtout pour les FNB indiciels.",19
651,Liquidité des FNB,Comment la liquidité d'un FNB est-elle assurée?,Par la négociabilité continue en bourse et la possibilité de création de nouvelles parts par des courtiers désignés.,19
652,FNB à effet de levier,Qu'est-ce qu'un FNB à effet de levier?,"Un FNB qui utilise l'effet de levier pour amplifier les rendements, en utilisant des produits dérivés pour multiplier le rendement de l’indice sous-jacent.",19
653,Risques des FNB à rendement inverse,Quels risques supplémentaires sont associés aux FNB à rendement inverse?,"Ils sont sensibles aux mouvements quotidiens du marché, rendant leur performance volatile à long terme. De plus, les marchés ont tendance à augmenter à long terme plutôt que de chuter.",19
654,FNB de marchandises physiques,Qu'est-ce qu'un FNB de marchandises physiques et quels sont ses avantages?,"Un FNB qui investit directement dans des marchandises, comme l'or, offrant un suivi proche du prix au comptant.",19
655,Risques des FNB utilisant des produits dérivés,Quels sont les risques spécifiques liés aux FNB qui utilisent des produits dérivés?,Le risque de contrepartie et le risque de volatilité accrue du sous-jacent.,19
656,Erreur de suivi et échantillonnage,Pourquoi un FNB peut-il avoir une erreur de suivi élevée s'il utilise la méthode de l’échantillonnage?,"Parce que le gestionnaire ne détient qu'un sous-ensemble de l'indice, créant ainsi des écarts de rendement.",19
657,FNB fondé sur des règles,Qu'est-ce qu'un FNB fondé sur des règles et quelle est son approche?,"Un FNB qui suit des stratégies prédéfinies, comme le bêta intelligent, pour cibler des rendements spécifiques.",19
658,Efficience fiscale des FNB,Pourquoi les FNB sont-ils souvent plus efficients fiscalement que les fonds communs de placement?,"En raison du faible taux de rotation et de la structure de création en nature, qui minimise les événements de vente.",19
659,Transparence des FNB actifs,Comment un FNB à gestion active diffère-t-il en transparence d'un FNB indiciel?,"Les FNB actifs sont généralement moins transparents, avec des informations mises à jour moins fréquemment.",19
660,Stratégies de FNB,Quels types de stratégies de FNB sont couramment utilisés pour les placements ciblés?,"Les stratégies sectorielles, régionales ou par facteur, comme les FNB de dividendes ou les FNB de croissance.",19
661,FNB d'options d'achat couvertes,En quoi un FNB d'options d'achat couvertes est-il avantageux pour les investisseurs?,Il permet de générer un revenu supplémentaire tout en limitant partiellement la volatilité.,19
662,Erreur de suivi et rééquilibrage des indices,Comment le rééquilibrage des indices peut-il créer une erreur de suivi pour les FNB?,"Les FNB doivent acheter ou vendre des titres pour ajuster leur composition, ce qui peut créer des écarts temporaires.",19
663,FNB de marchandises et contrats à terme,Quelles précautions doivent être prises pour investir dans des FNB de marchandises utilisant des contrats à terme?,"Considérer les coûts liés au roulement des contrats, pouvant affecter les rendements.",19
664,Risque de liquidité des FNB de titres à revenu fixe,Pourquoi les FNB de titres à revenu fixe peuvent-ils être plus sensibles au risque de liquidité?,"Parce que certaines obligations sont peu liquides, rendant le rééquilibrage difficile et impactant la valeur de marché.",19
665,Risque de concentration des FNB,Comment le risque de concentration affecte-t-il certains FNB?,Un petit nombre de titres dominants dans un FNB peut augmenter la volatilité et réduire la diversification.,19
666,Importance de la composition des FNB,Pourquoi les investisseurs doivent-ils comprendre la composition d'un FNB avant de l’acheter?,Les attentes de rendement peuvent diverger en fonction des méthodes de pondération et de sélection des titres.,19
667,FNB vs fonds communs,Quelles sont les différences clés entre FNB et fonds communs en termes de frais et d’accessibilité?,"Les FNB ont des frais souvent plus bas, se négocient en bourse et sont accessibles aux petits investisseurs sans montant minimum.",19
668,Avantages des FNB pour placements flexibles,Quels sont les avantages des FNB pour les investisseurs à la recherche de placements flexibles?,"Ils offrent des options de négociation sur marge, la vente à découvert, et des stratégies diversifiées adaptées aux fluctuations de marché.",19
669,FNB et vente à découvert,Un FNB peut-il être vendu à découvert?,Oui,19
670,Document requis pour les investisseurs FNB,Quel est le nom du document qui doit être remis aux investisseurs d'un FNB dans les deux jours ouvrables suivant l'achat?,L’aperçu du FNB,19
671,Titre de créance émis par une banque,Quel est le nom d'un titre de créance émis par une banque qui verse des intérêts en fonction de la performance d'un actif de référence spécifique?,Billet négocié en bourse (BNB),19
672,FNB fondé sur des règles,"Qu'est-ce qu'un """"FNB fondé sur des règles""""?","Parfois appelé bêta intelligent. La pondération des titres dans le FNB est basée sur d’autres critères (ventes, rendement, dividendes, volatilité, cours bénéfices). Approche axée sur un objectif.",19
673,Liquidité des fonds communs,Pourquoi un fonds commun de placement à capital variable a-t-il plus de liquidités qu'un fonds commun de placement à capital fixe?,Les fonds à capital fixe n’ont pas besoin de conserver des liquidités résiduelles en cas de rachat des parts.,19
674,Types de FNB de marchandises,Quels sont les trois types de FNB de marchandises?,"Marchandise physique, contrats à terme, actions.",19
675,Placement alternatif,Qu'est-ce qu'un placement alternatif?,"C'est une catégorie d'actifs non traditionnels qui inclut des actifs comme les marchandises, l'immobilier, le capital-investissement et les fonds de couverture.",20
676,Groupes de placements alternatifs,Quels sont les trois groupes principaux de placements alternatifs?,"Les fonds de stratégies alternatives, les actifs alternatifs (biens immobiliers, marchandises) et le capital-investissement.",20
677,Diversification des placements alternatifs,Pourquoi les placements alternatifs sont-ils souvent recherchés pour la diversification?,"Ils ont souvent une corrélation faible ou négative avec les actifs traditionnels, réduisant ainsi la volatilité du portefeuille.",20
678,Fonds de couverture,Qu'est-ce qu'un fonds de couverture?,Un type de fonds alternatif permettant une grande flexibilité dans l'utilisation de stratégies telles que la vente à découvert et l'effet de levier.,20
679,Stratégies de valeur relative,Quelles sont les stratégies de valeur relative dans les fonds de couverture?,"Des stratégies visant à profiter des écarts de prix entre différents instruments liés, comme les actions et obligations.",20
680,Risques des placements alternatifs,Quels sont les principaux risques des placements alternatifs?,"Le risque du premier type (directionnel), le risque du second type (opérationnel, de levier, d'illiquidité), et le risque opérationnel.",20
681,Régulation des fonds de couverture,Comment les fonds de couverture se différencient-ils des fonds communs de placement traditionnels en termes de régulation?,Ils sont moins réglementés et permettent des stratégies plus flexibles comme l'utilisation intensive des dérivés.,20
682,Risque de levier financier,Quelle est la définition du risque de levier financier?,C'est le risque de perte amplifié par l’utilisation de fonds empruntés pour financer des positions d’investissement.,20
683,Période d'immobilisation des fonds de couverture,Pourquoi les fonds de couverture peuvent-ils imposer une période d'immobilisation?,Pour limiter les rachats dans le but de gérer des actifs non liquides sans provoquer de ventes forcées.,20
684,Dispense pour investisseurs qualifiés,Qu'est-ce qu'une dispense pour investisseurs qualifiés?,Une exemption réglementaire permettant aux investisseurs répondant à des critères financiers spécifiques d’investir dans des produits sans prospectus.,20
685,Avantages des placements alternatifs,Quels sont les avantages d'ajouter des placements alternatifs dans un portefeuille?,"Diversification accrue, amélioration de l'alpha, et potentiel de rendement absolu.",20
686,Taux de rendement minimal,Qu'est-ce que le taux de rendement minimal dans un fonds de couverture?,Un seuil de rendement que le fonds doit atteindre avant de pouvoir verser une rémunération au rendement au gestionnaire.,20
687,Risque de concentration,Qu'est-ce que le risque de concentration?,"Le risque accru dû à une pondération élevée d'un titre dans un portefeuille, exposant ainsi fortement le portefeuille à ce titre.",20
688,FNB pour accès aux placements alternatifs,Pourquoi les FNB sont-ils populaires pour accéder aux placements alternatifs?,"Ils offrent une liquidité élevée, une transparence quotidienne et la possibilité de négocier en bourse.",20
689,Catégories d'actifs alternatifs physiques,Quelles sont les trois catégories d'actifs alternatifs physiques?,"Les marchandises, les biens immobiliers et les pièces de collection.",20
690,Fonds de fonds de couverture,Qu'est-ce qu'un fonds de fonds de couverture?,Un fonds qui investit dans plusieurs fonds de couverture pour diversifier les stratégies et gérer les risques.,20
691,Types d'investisseurs pour fonds de couverture,Quels types d'investisseurs sont autorisés à investir dans des fonds de couverture?,"Les investisseurs qualifiés, incluant des institutions et des particuliers fortunés répondant à des critères d'actifs ou de revenus élevés.",20
692,Capital-investissement,Comment le capital-investissement se distingue-t-il des actions cotées en bourse?,"Le capital-investissement concerne des actions d'entreprises non cotées, souvent impliquées dans des acquisitions ou redressements.",20
693,Avantages fiscaux des placements alternatifs,Quels avantages fiscaux peuvent être associés aux placements alternatifs?,Certains placements peuvent offrir des reports d'impôt ou des taux d'imposition avantageux en fonction de la nature de l'actif.,20
694,Types de marchandises comme actifs alternatifs,Quels sont les principaux types de marchandises utilisés comme actifs alternatifs?,"Les produits agricoles, les métaux précieux, les produits énergétiques et les métaux industriels.",20
695,Prime de performance des fonds de couverture,Pourquoi les fonds de couverture incluent-ils souvent une prime de performance pour les gestionnaires?,Pour attirer des gestionnaires talentueux et les inciter à obtenir de bons résultats.,20
696,Actifs non liquides et performance,Comment les actifs non liquides peuvent-ils affecter la performance des fonds de couverture?,Ils augmentent la volatilité et peuvent entraîner des retards lors de rachats ou des coûts élevés lors de ventes forcées.,20
697,Contraintes de liquidité des fonds communs alternatifs,Quelles sont les contraintes d’un fonds commun de placement alternatif en termes de liquidité?,"Ils peuvent avoir des limites sur les actifs non liquides (maximum 10 % de la valeur liquidative), assurant ainsi une certaine liquidité pour les rachats.",20
698,Impact du levier sur le risque,Comment le recours au levier impacte-t-il le risque dans les fonds alternatifs?,"Il amplifie les gains comme les pertes, augmentant ainsi le risque total.",20
699,Risque lié au modèle d'évaluation,Qu'est-ce que le risque lié au modèle d'évaluation?,Le risque que des hypothèses incorrectes dans les modèles d'évaluation entraînent des erreurs de valorisation des titres.,20
700,Stratégies des fonds communs alternatifs,Quelles stratégies sont possibles dans un fonds commun de placement alternatif?,"Vente à découvert, utilisation des dérivés, et concentration plus élevée de certains titres par rapport aux fonds traditionnels.",20
701,Frontière efficiente et placements alternatifs,Comment la frontière efficiente est-elle appliquée dans le contexte des placements alternatifs?,Elle aide à maximiser le rendement attendu pour un niveau de risque donné en diversifiant avec des actifs faiblement corrélés.,20
702,Stratégies événementielles des fonds de couverture,Quels types de stratégies événementielles sont utilisées dans les fonds de couverture?,"Fusions et acquisitions, restructurations, offres publiques d'achat et autres transactions spécifiques.",20
703,Immobilier et placements alternatifs,Pourquoi les placements dans l'immobilier sont-ils considérés comme des placements alternatifs?,En raison de leur nature peu liquide et de leur risque distinct des actifs traditionnels comme les actions et obligations.,20
704,Réglementation des fonds de couverture et fonds communs alternatifs,Quelle est la différence entre les fonds de couverture et les fonds communs de placement alternatifs en matière de réglementation?,"Les fonds de couverture ont des restrictions minimales tandis que les fonds communs de placement alternatifs sont soumis à des limites sur l'effet de levier, les actifs non liquides, et la vente à découvert.",20
705,Catégories d'actifs pour investissements alternatifs,Quelles sont les trois principales catégories d'actifs pour les investissements alternatifs ?,"Fonds de stratégies alternatives, actifs alternatifs (marchandise, immobilier, pièces de collection), capital investissement.",20
706,Risque de contrepartie,"Qu'est-ce que le """"risque de contrepartie"""" ?",Contrat a terme gré a gré que la contrepartie ne remplisse pas ses obligations.,20
707,Taux de rendement minimal,"Qu'est-ce qu'un """"taux de rendement minimal"""" ?",Taux de rendement minimal que le fonds doit atteindre avant que le gestionnaire commence a être payé.,20
708,Stratégie de valeur relative des fonds spéculatifs,Quel est le nom de la stratégie utilisée par les gestionnaires de fonds spéculatifs qui tentent de tirer profit des opportunités de prix ou d'arbitrage sur le marché ?,Stratégie de valeur relative: tire profit de l’écart des cours entre différents instruments liés (arbitrage).,20
709,Frontière efficiente et placements alternatifs,Quelles sont les deux données utilisées dans la frontière efficiente ?,Écart type et rendement espéré.,20
710,Investisseurs qualifiés,"Qu'est-ce qu'un """"investisseur qualifiés"""" ?","Institutionnel: 5M d’actifs nets; Particuliers: 1M actifs financiers nets ou 200 000$ de revenu annuel ou, 300 000 incluant le conjoint; 5M incluant immobilier.",20
711,Mesure de risque des placements alternatifs,Quelle est la deuxième mesure de risque la plus couramment employée dans le cadre de placements alternatifs?,Taux de recul: La baisse maximale enregistrée au cours d’une période donnée.,20
712,Risque du premier et second type,Qu’est ce qu’un risque du premier et second type?,"Premier type se rapporte aux fluctuations du marchés; Second type se rapporte au risque d’illiquidité, de levier, rupture d’une entente, défaillance, contrepartie, exécution, concentration, ainsi qu’au modèle d’évaluation ou de négociation.",20
713,Seuil d’application des commissions de performance,"Quelle est l'intention d'un fonds spéculatif d'incorporer un """"seuil d’application des commissions de performance"""" ?",S’appelle aussi “niveau maximal enregistré” (High water mark). Ça évite que le gestionnaire soit payé à plusieurs reprises pour la même performance.,20
714,Transparence des placements alternatifs,Quels sont les trois facteurs clés de la transparence des produits d'investissement alternatifs ?,"Le degré de précision de l’information communiquée, la fréquence de l’information, et le laps de temps séparant la date de clôture et la date à laquelle les infos sont communiquées aux investisseurs.",20
715,Catégories de stratégies alternatives,Quelles sont les trois principales catégories de stratégies alternatives?,"Stratégies de valeur relative, stratégies événementielles, et stratégies directionnelles.",21
716,Stratégies de valeur relative,En quoi consistent les stratégies de valeur relative?,"Elles tirent profit des anomalies ou écarts de prix entre différents instruments liés, comme les actions, obligations ou produits dérivés.",21
717,Stratégies événementielles,Pourquoi les stratégies événementielles sont-elles considérées moyennement sensibles aux mouvements de marché?,"Elles misent sur des événements spécifiques aux entreprises, tels que les fusions ou rachats, indépendamment de la direction générale du marché.",21
718,Stratégies directionnelles,Comment fonctionnent les stratégies directionnelles?,"Elles misent sur des mouvements anticipés de prix d'actions, titres d’emprunt, devises, ou marchandises et sont sensibles aux tendances du marché sous-jacent.",21
719,Stratégie neutre au marché,Qu'est-ce qu'une stratégie sur actions neutres au marché?,C'est une stratégie qui consiste à établir des positions acheteur et vendeur de valeurs équivalentes pour profiter des anomalies sans exposer le portefeuille aux fluctuations générales du marché.,21
720,Transaction par paires,Quelles sont les étapes d'une transaction par paires dans une stratégie sur actions neutres au marché?,"Sélection des paires, analyse des écarts de prix, choix de la paire, exécution de la transaction, et renversement lorsque l'écart cible est atteint.",21
721,Arbitrage de titres convertibles,Qu'est-ce que l'arbitrage de titres convertibles?,Une stratégie qui exploite les écarts de valorisation entre un titre convertible (comme une obligation) et l'action sous-jacente.,21
722,Effet de levier limité,Pourquoi les stratégies sur actions neutres au marché utilisent-elles un effet de levier limité?,Pour accroître les rendements sans exposer excessivement le portefeuille au risque.,21
723,Restructuration des titres en difficulté,Quelles sont les deux formes de restructurations dans la stratégie sur titres en difficulté?,La restructuration volontaire et la restructuration involontaire.,21
724,Différence de risque entre stratégies directionnelles et de valeur relative,En quoi les stratégies directionnelles diffèrent-elles des stratégies de valeur relative en termes de risque?,Les stratégies directionnelles sont plus exposées aux fluctuations du marché tandis que les stratégies de valeur relative sont conçues pour minimiser cette exposition.,21
725,Arbitrage de titres visés par une fusion,Qu'est-ce que l'arbitrage de titres visés par une fusion?,Une stratégie consistant à prendre simultanément des positions sur des actions des entreprises impliquées dans des fusions ou acquisitions pour profiter des écarts de prix.,21
726,Arbitrage de titres à revenu fixe,Comment la stratégie d’arbitrage de titres à revenu fixe génère-t-elle des rendements?,Elle profite des anomalies de cours entre des obligations et leurs dérivés en utilisant souvent un effet de levier élevé.,21
727,Diligence raisonnable,Pourquoi la diligence raisonnable est-elle importante dans les placements alternatifs?,"Pour évaluer le potentiel de risque et de rendement, ainsi que la structure du fonds.",21
728,Fonds macroéconomique mondial,Quels sont les avantages potentiels d'un fonds de couverture macroéconomique mondial?,"Exposition à des tendances économiques globales et flexibilité pour investir dans divers marchés comme les actions, les devises, et les marchandises.",21
729,Indicateurs de tendance des contrats à terme,Quelles stratégies utilisent des indicateurs de tendance dans les contrats à terme gérés?,Stratégie momentum de séries chronologiques et stratégie momentum transversale.,21
730,Placements dans les marchés émergents,Quels types de placements les fonds alternatifs de marchés émergents utilisent-ils souvent?,Actions et titres de créance de sociétés des marchés émergents.,21
731,Risques des stratégies de marchés émergents,Quels sont les principaux risques des stratégies de marchés émergents?,"Risque politique, risque de change, risque d'inflation, et risque de liquidité.",21
732,Stratégie de position vendeur nette,Qu'est-ce qu'une stratégie de position vendeur nette?,"Une stratégie où le portefeuille est principalement composé de positions vendeur, visant à tirer profit des baisses de prix.",21
733,Contrats à terme gérés,Comment les contrats à terme gérés sont-ils souvent utilisés dans les fonds alternatifs?,Pour suivre les tendances du marché ou pour couvrir des expositions dans diverses classes d'actifs.,21
734,Recul maximal,Qu'est-ce que le recul maximal?,C'est la perte maximale d’un portefeuille depuis son pic de valeur jusqu'à son point le plus bas.,21
735,Titres en difficulté et stratégies événementielles,Pourquoi les stratégies événementielles incluent-elles souvent des positions sur des titres en difficulté?,Pour profiter des restructurations ou des liquidations qui augmentent la valeur des titres achetés à prix réduit.,21
736,Macrofonds mondiaux,Quels facteurs les gestionnaires de macrofonds mondiaux surveillent-ils pour prendre des décisions?,"Statistiques commerciales, bénéfices des entreprises, taux de change, politiques économiques, et événements politiques majeurs.",21
737,Arbitrage de titres à revenu fixe et écarts de taux,Comment les stratégies d'arbitrage de titres à revenu fixe utilisent-elles les écarts de taux?,Elles profitent des différences de rendement entre des obligations d'entreprises et des obligations d'État en ajustant leur exposition aux taux d’intérêt.,21
738,Ratio de Sharpe,Pourquoi le ratio de Sharpe est-il pertinent pour les placements alternatifs?,"Il mesure le rendement ajusté au risque, permettant de comparer différentes stratégies sur une base de risque similaire.",21
739,Types de stratégies de valeur relative,Quels types de stratégies sont incluses dans la catégorie des stratégies de valeur relative?,"Stratégies sur actions neutres au marché, arbitrage de titres convertibles, et arbitrage de titres à revenu fixe.",21
740,Signaux de tendance des contrats à terme gérés,Pourquoi les stratégies de contrats à terme gérés suivent-elles des signaux de tendance?,Elles sont basées sur l’hypothèse que les actifs qui montrent une tendance forte la maintiendront temporairement.,21
741,Différence entre macrofonds mondiaux discrétionnaire et systématique,Quelle est la différence entre un macrofonds mondial discrétionnaire et systématique?,"Un fonds discrétionnaire repose sur l'analyse économique générale, tandis qu'un fonds systématique utilise des modèles et algorithmes pour identifier les tendances.",21
742,Stratégie acheteur-vendeur en marché haussier,En quoi les stratégies de position acheteur-vendeur sur actions sont-elles avantageuses dans un marché haussier?,Elles permettent aux gestionnaires de sélectionner des actions pour capter la hausse du marché tout en se protégeant contre les titres sous-performants.,21
743,Stratégies de valeur relative,"Quelles sont les différentes """"stratégies de valeur relative"""" ?","Actions neutre au marchés, arbitrage de titres convertibles, arbitrages de titres a revenu fixe.",21
744,Stratégies événementielles,"Quelles sont les différentes """"stratégies événementielles"""" ?","Arbitrage de titres visés par une fusion, titres en difficulté, obligations à rendement élevé.",21
745,Stratégies directionnelles,"Quelles sont les différentes """"stratégies directionnelles"""" ?","Actions acheteur/vendeur, macrofonds mondiaux, marchés émergents, position vendeur nette, contrats à termes gérés.",21
746,Arbitrage de titres convertibles,"Donnez un exemple du fonctionnement d'une """"stratégie d'arbitrage de titres convertibles"""".","Achat de titres sous-évalués et vente des actions sous jacentes. La valeur des actions est toujours inférieur à la valeur de conversion. De plus, la valeur de l’obligation (valeur de placement) représente un plancher.",21
747,Évaluation du risque de crédit,Comment le risque de crédit est-il évalué entre une obligation d'entreprise et une obligation d'État ?,Écart entre les rendements des obligations de l’état et obligations d’entreprise.,21
748,Opération de fusion dilutive,"Qu'est-ce qu'une opération de fusion """"dilutive"""" ?",Diminution des bénéfices par action de l’acquéreur en raison des piètres performances financière de la compagnie visée.,21
749,Bêta de la stratégie neutre au marché,Quel serait le bêta d'une stratégie neutre par rapport au marché des actions ?,0,21
750,Bêta de la stratégie acheteur-vendeur,Quel serait le bêta d'une stratégie d’actions en position acheteur/vendeur?,Beta positif,21
751,Avantages des contrats à terme,Quels sont les avantages des contrats à terme ?,"Liquides, faible cout de friction (écarts acheteur-vendeur), transparence de prix, accès direct au risque sous-jacent.",21
